time;PrimBusVoltage1;PrimBusCurrent1;PrimBusVoltage2;PrimBusCurrent2;SecBusVoltage2;SecBusCurrent2;SecBusVoltage3;SecBusCurrent3;MemoryRate
0;4;2;4;1;5;1;5;2;50
1;4;1;5;1;4;2;4;1;99
2;4;2;4;2;4;2;5;1;74
3;4;1;5;2;4;1;4;1;78
4;5;1;5;1;4;1;5;1;82
5;5;1;4;2;4;1;5;2;93
6;5;2;5;1;4;1;5;2;51
7;5;2;4;1;5;1;4;2;50
8;5;1;5;2;5;2;5;1;99
9;5;2;5;1;4;2;4;1;78
10;5;2;4;2;5;1;4;2;86
11;4;2;5;1;5;2;4;1;58
12;5;2;4;1;5;1;5;2;95
13;5;1;5;2;5;2;5;1;85
14;5;1;4;1;4;2;5;2;60
15;4;2;4;1;4;2;4;2;74
16;5;2;5;1;4;2;5;2;68
17;5;1;5;1;4;1;5;2;76
18;4;1;5;2;4;2;4;1;94
19;5;2;5;1;5;1;4;2;96
20;4;2;5;1;5;1;4;2;56
21;5;1;4;1;4;1;4;2;56
22;4;1;4;1;4;1;4;2;62
23;5;2;5;2;4;1;4;1;100
24;5;2;4;2;4;1;5;2;71
25;4;2;5;2;4;1;4;2;53
26;5;1;5;1;4;1;4;2;60
27;5;2;4;2;5;1;5;1;93
28;4;1;5;1;4;1;4;1;70
29;5;2;4;1;5;2;5;2;67
30;4;2;4;2;4;2;4;1;84
31;4;1;4;1;4;2;5;2;87
32;5;2;4;1;4;2;4;1;67
33;4;2;5;2;5;2;4;2;76
34;5;2;4;2;5;2;4;2;76
35;5;1;4;1;5;2;5;1;69
36;4;2;4;1;5;2;4;2;69
37;5;1;4;1;5;1;5;1;54
38;5;1;5;2;4;2;5;2;63
39;4;2;4;1;5;1;5;1;99
40;5;1;5;1;5;2;4;2;100
41;5;2;5;1;4;2;4;2;79
42;4;1;5;2;4;1;4;2;80
43;4;2;4;2;5;2;4;1;64
44;4;2;4;1;5;1;4;1;92
45;5;1;5;2;4;2;5;2;82
46;4;2;5;2;4;2;4;1;70
47;4;1;5;1;5;1;5;1;63
48;4;1;5;1;4;1;5;1;76
49;5;2;5;2;4;2;4;2;75
50;5;1;5;2;4;1;4;1;81
51;5;2;4;1;5;1;5;2;92
52;5;2;5;2;4;1;5;1;90
53;4;2;4;1;5;1;4;2;57
54;4;1;5;2;5;2;5;1;53
55;5;2;5;1;4;2;4;2;72
56;5;1;5;2;4;2;4;1;94
57;4;1;4;2;4;2;5;1;84
58;5;1;5;2;5;1;4;2;69
59;4;1;4;1;4;2;5;2;52
60;5;2;4;2;5;2;5;2;96
61;4;2;5;1;4;1;4;2;51
62;5;2;4;1;4;1;4;2;62
63;5;1;4;1;5;1;4;1;82
64;5;1;4;1;5;2;5;1;99
65;5;2;5;1;4;1;4;1;84
66;4;2;5;1;4;1;5;1;87
67;5;1;5;2;4;2;5;1;72
68;5;1;5;1;4;1;5;2;74
69;5;1;5;2;5;1;4;2;54
70;5;2;4;1;4;2;4;1;80
71;4;1;5;1;4;2;5;1;58
72;4;1;4;1;4;2;5;1;72
73;4;2;5;2;4;1;4;1;94
74;5;1;4;2;5;2;5;2;52
75;4;2;5;2;4;2;5;2;59
76;5;1;5;1;4;1;4;2;79
77;4;2;5;1;4;2;5;1;73
78;5;2;5;1;5;1;5;1;93
79;4;1;4;2;5;1;4;1;83
80;5;2;4;1;4;1;5;2;55
81;4;1;4;2;5;2;5;1;98
82;4;1;5;2;5;1;5;2;63
83;5;2;4;2;5;1;4;1;52
84;4;1;5;2;5;1;5;1;86
85;4;2;4;2;4;1;4;2;58
86;5;1;5;1;5;1;4;2;89
87;5;1;5;1;4;1;4;1;71
88;5;2;5;1;5;1;5;2;55
89;4;2;5;2;4;2;5;2;64
90;5;2;5;1;5;1;5;2;55
91;4;2;5;2;5;1;5;1;58
92;5;2;5;2;5;2;4;1;85
93;5;1;4;2;4;2;4;1;54
94;5;2;4;2;4;1;5;1;64
95;4;2;4;2;4;2;5;2;62
96;4;1;5;2;4;1;4;1;78
97;5;1;5;1;5;1;5;1;73
98;4;2;5;2;4;1;5;2;50
99;5;1;4;1;4;1;4;1;85
100;5;2;4;1;5;1;5;2;97
101;5;2;5;1;5;2;4;1;68
102;5;2;5;2;5;1;5;2;97
103;5;1;5;1;4;1;4;2;69
104;5;1;4;2;4;1;4;2;63
105;5;2;4;2;4;1;4;2;91
106;5;2;5;2;4;2;5;2;66
107;4;1;4;2;5;2;4;1;66
108;5;1;4;2;5;2;5;1;96
109;4;2;5;2;5;2;5;2;76
110;4;2;4;2;4;1;4;1;86
111;5;1;4;2;5;2;4;1;94
112;4;1;5;2;5;1;5;1;60
113;4;1;5;2;5;2;5;1;98
114;5;2;5;1;5;1;4;1;62
115;4;2;5;2;4;1;5;2;58
116;5;1;4;1;5;2;4;2;55
117;5;2;4;2;4;2;5;2;87
118;5;2;5;2;5;2;4;1;82
119;4;1;4;1;5;2;4;2;80
120;4;1;4;2;4;1;4;1;68
121;4;1;5;1;4;1;5;2;66
122;4;1;5;2;4;2;5;1;91
123;5;1;5;1;4;1;4;2;68
124;5;1;4;1;4;1;5;1;61
125;5;1;4;1;5;1;4;2;89
126;5;2;5;1;4;1;4;1;71
127;5;1;5;1;4;2;5;1;64
128;4;1;5;1;5;2;4;1;53
129;4;1;5;1;5;2;4;2;56
130;5;1;5;2;4;2;5;1;92
131;5;2;5;2;5;1;4;2;100
132;4;1;5;1;5;2;4;1;50
133;4;2;5;1;4;1;4;2;98
134;5;2;4;1;5;2;5;2;78
135;4;2;4;1;5;2;5;2;69
136;5;2;5;2;4;2;4;1;77
137;4;1;4;2;4;1;4;1;76
138;4;2;5;2;4;2;4;1;91
139;5;1;5;2;5;1;5;1;86
140;5;1;4;1;4;2;5;2;51
141;4;2;4;2;5;2;5;2;78
142;5;1;4;2;4;2;4;1;73
143;4;2;5;1;5;2;5;1;67
144;4;1;4;1;4;1;5;2;66
145;5;2;4;2;4;2;5;2;88
146;4;2;4;1;4;1;4;2;80
147;4;1;4;1;4;2;5;1;53
148;5;2;4;2;4;2;5;1;60
149;4;1;5;2;5;2;5;1;90
150;5;2;5;1;5;2;4;1;73
151;5;2;4;1;5;1;5;1;51
152;4;2;5;2;5;1;5;2;50
153;4;2;5;1;4;2;4;1;64
154;4;2;4;2;4;2;4;2;94
155;5;2;4;2;5;2;5;2;73
156;5;1;4;2;5;1;4;2;67
