time;H2tank fill;O2tankfill;H2tank temp;O2 tank temp;H2tankpressure;O2tank pressure;H2valve temp;O2valve temp;H2valve pressure;O2valve pressure;TurbineTemp;TurbinePressure
0;100;100;255;207;33,3333333333333;33,3333333333333;227;252;11,1111111111111;11,1111111111111;283;28
1;99,5;99,5;204;238;33,1666666666667;33,1666666666667;295;232;11,0555555555556;11,0555555555556;290;26
2;99;99;218;294;33;33;215;213;11;11;225;11
3;98,5;98,5;291;244;32,8333333333333;32,8333333333333;299;206;10,9444444444444;10,9444444444444;258;15
4;98;98;211;248;32,6666666666667;32,6666666666667;269;209;10,8888888888889;10,8888888888889;254;15
5;97,5;97,5;234;266;32,5;32,5;274;202;10,8333333333333;10,8333333333333;276;15
6;97;97;228;209;32,3333333333333;32,3333333333333;294;202;10,7777777777778;10,7777777777778;212;24
7;96,5;96,5;231;240;32,1666666666667;32,1666666666667;279;225;10,7222222222222;10,7222222222222;243;29
8;96;96;294;274;32;32;231;273;10,6666666666667;10,6666666666667;299;25
9;95,5;95,5;264;293;31,8333333333333;31,8333333333333;248;295;10,6111111111111;10,6111111111111;266;19
10;95;95;270;229;31,6666666666667;31,6666666666667;240;218;10,5555555555556;10,5555555555556;224;11
11;94,5;94,5;265;294;31,5;31,5;234;205;10,5;10,5;211;22
12;94;94;210;277;31,3333333333333;31,3333333333333;252;245;10,4444444444444;10,4444444444444;283;23
13;93,5;93,5;204;294;31,1666666666667;31,1666666666667;241;256;10,3888888888889;10,3888888888889;238;14
14;93;93;220;243;31;31;216;261;10,3333333333333;10,3333333333333;299;21
15;92,5;92,5;285;219;30,8333333333333;30,8333333333333;298;200;10,2777777777778;10,2777777777778;281;30
16;92;92;255;265;30,6666666666667;30,6666666666667;215;252;10,2222222222222;10,2222222222222;265;30
17;91,5;91,5;249;220;30,5;30,5;261;264;10,1666666666667;10,1666666666667;273;15
18;91;91;260;221;30,3333333333333;30,3333333333333;246;220;10,1111111111111;10,1111111111111;286;13
19;90,5;90,5;246;245;30,1666666666667;30,1666666666667;239;293;10,0555555555556;10,0555555555556;266;15
20;90;90;210;212;30;30;270;250;10;10;204;17
