Time;BusStatus;BusVoltage;BusCurrent;TotalSystemCurrent;BatteryVoltage1;BatteryTemperature1;BatteryCapacity1;BatteryVoltage2;BatteryTemperature2;BatteryCapacity2;BatteryVoltage3;BatteryTemperature3;BatteryCapacity3
0;20;29;7;12;27;28;500;28;32;500;29;33;500
1;20;28;9;10;29;45;499;31;46;499;27;34;499
2;20;28;9;8;27;34;498;28;37;498;30;45;498
3;20;31;9;8;31;30;497;31;42;497;31;39;497
4;20;33;10;11;30;36;496;30;30;496;28;35;496
5;20;33;10;12;30;29;495;27;50;495;27;27;495
6;20;32;10;9;31;44;494;28;25;494;29;28;494
7;20;28;8;12;30;37;493;29;45;493;30;49;493
8;20;31;8;10;27;30;492;27;26;492;31;40;492
9;20;30;7;12;30;28;491;30;32;491;30;44;491
10;20;27;8;12;30;40;490;29;38;490;30;45;490
11;20;29;8;9;31;50;489;27;42;489;28;36;489
12;20;27;7;10;27;47;488;30;37;488;31;50;488
13;20;33;10;12;30;36;487;30;42;487;28;43;487
14;20;30;7;8;28;43;486;29;25;486;28;37;486
15;20;28;9;8;30;40;485;29;27;485;30;50;485
16;20;29;8;10;30;37;484;28;43;484;30;41;484
17;20;28;8;8;29;29;483;31;30;483;29;33;483
18;20;29;10;10;27;29;482;31;38;482;29;48;482
19;20;27;9;8;31;29;481;29;47;481;27;31;481
20;20;33;7;9;29;50;480;29;45;480;31;42;480
21;20;28;8;11;30;32;479;29;36;479;29;27;479
22;20;27;7;9;30;42;478;31;44;478;30;27;478
23;20;27;8;11;31;29;477;29;26;477;28;47;477
24;20;32;8;8;28;34;476;28;28;476;27;42;476
25;20;28;8;8;29;40;475;28;30;475;30;42;475
26;20;28;8;9;29;38;474;27;28;474;30;35;474
27;20;29;7;12;29;34;473;30;47;473;30;49;473
28;20;32;8;9;29;28;472;27;37;472;31;33;472
29;20;32;8;10;31;49;471;29;30;471;30;47;471
30;20;31;9;12;27;45;470;29;49;470;29;26;470
31;20;32;9;12;28;37;469;28;33;469;28;47;469
32;20;28;9;9;29;47;468;30;34;468;27;28;468
33;20;31;9;12;28;48;467;27;35;467;30;40;467
34;20;29;10;10;29;33;466;27;25;466;30;25;466
35;20;30;7;9;30;29;465;27;41;465;30;29;465
36;20;33;8;9;31;49;464;27;29;464;31;33;464
37;20;30;10;9;29;25;463;27;46;463;29;25;463
38;20;27;7;8;27;46;462;29;29;462;31;39;462
39;20;28;7;10;30;31;461;28;34;461;29;34;461
40;20;32;7;11;27;40;460;27;35;460;28;33;460
41;20;33;8;12;27;45;459;28;35;459;30;41;459
42;20;29;10;10;29;30;458;27;30;458;29;25;458
43;20;31;7;9;31;33;457;30;47;457;31;48;457
44;20;27;10;9;31;42;456;27;44;456;30;50;456
45;20;33;9;11;27;35;455;29;28;455;28;26;455
46;20;32;9;10;27;43;454;31;31;454;29;35;454
47;20;31;9;8;29;48;453;29;48;453;29;31;453
48;20;27;7;8;29;26;452;30;46;452;27;47;452
49;20;33;9;12;30;36;451;31;40;451;29;40;451
50;20;30;7;8;29;45;450;29;27;450;28;41;450
51;20;27;10;10;30;48;449;30;31;449;27;39;449
52;20;31;9;10;29;48;448;29;50;448;29;29;448
53;20;30;10;8;31;48;447;30;28;447;28;39;447
54;20;28;8;10;30;35;446;31;33;446;29;28;446
55;20;32;8;10;30;43;445;27;44;445;29;37;445
56;20;29;7;8;29;48;444;30;49;444;27;46;444
