Time;LVPDUStatus;LVPDUVoltage
0;0;0,016785
1;0;0,016786
2;0;0,016787
3;0;0,016788
4;0;0,016789
5;0;0,016790
6;0;0,016791
7;0;0,016792
8;0;0,016793
9;0;0,016794
10;0;0,016795
11;0;0,016796
12;0;0,016797
13;0;0,016798
14;0;0,016799
15;0;0,016800
16;0;0,016801
17;0;0,016802
18;0;0,016803
19;0;0,016804
20;0;0,016805
21;0;0,016806
22;0;0,016807
23;0;0,016808
24;0;0,016809
25;0;0,016810
26;0;0,016811
27;0;0,016812
28;0;0,016813
29;0;0,016814
30;0;0,016815
31;0;0,016816
32;0;0,016817
33;0;0,016818
34;0;0,016819
35;0;0,016820
36;0;0,016821
37;0;0,016822
38;0;0,016823
39;0;0,016824
40;0;0,016825
41;0;0,016826
42;0;0,016827
43;0;0,016828
44;0;0,016829
45;0;0,016830
46;0;0,016831
47;0;0,016832
48;0;0,016833
49;0;0,016834
50;0;0,016835
51;0;0,016836
52;0;0,016837
53;0;0,016838
54;0;0,016839
55;0;0,016840
56;0;0,016841
57;0;0,016842
58;0;0,016843
59;0;0,016844
60;0;0,016845
61;0;0,016846
62;0;0,016847
63;0;0,016848
64;0;0,016849
65;0;0,016850
66;0;0,016851
67;0;0,016852
68;0;0,016853
69;0;0,016854
70;0;0,016855
71;0;0,016856
72;0;0,016857
73;0;0,016858
74;0;0,016859
75;0;0,016860
76;0;0,016861
77;0;0,016862
78;0;0,016863
79;0;0,016864
80;0;0,016865
81;0;0,016866
82;0;0,016867
83;0;0,016868
84;0;0,016869
85;0;0,016870
86;0;0,016871
87;0;0,016872
88;0;0,016873
89;0;0,016874
90;0;0,016875
91;0;0,016876
92;0;0,016877
93;0;0,016878
94;0;0,016879
95;0;0,016880
96;0;0,016881
97;0;0,016882
98;0;0,016883
99;0;0,016884
100;0;0,016885
101;0;0,016886
102;0;0,016887
103;0;0,016888
104;0;0,016889
105;0;0,016890
106;0;0,016891
107;0;0,016892
108;0;0,016893
109;0;0,016894
110;0;0,016895
111;0;0,016896
112;0;0,016897
113;0;0,016898
114;0;0,016899
115;0;0,016900
116;0;0,016901
117;0;0,016902
118;0;0,016903
119;0;0,016904
120;0;0,016905
121;0;0,016906
122;0;0,016907
123;0;0,016908
124;0;0,016909
125;0;0,016910
126;0;0,016911
127;0;0,016912
128;0;0,016913
129;0;0,016914
130;0;0,016915
131;0;0,016916
132;0;0,016917
133;0;0,016918
134;0;0,016919
135;0;0,016920
136;0;0,016921
137;0;0,016922
138;0;0,016923
139;0;0,016924
140;0;0,016925
141;0;0,016926
142;0;0,016927
143;0;0,016928
144;0;0,016929
145;0;0,016930
146;0;0,016931
147;0;0,016932
148;0;0,016933
149;0;0,016934
150;0;0,016935
151;0;0,016936
152;0;0,016937
153;0;0,016938
154;0;0,016939
155;0;0,016940
156;0;0,016941
157;0;0,016942
158;0;0,016943
159;0;0,016944
160;0;0,016945
161;0;0,016946
162;0;0,016947
163;0;0,016948
164;0;0,016949
165;0;0,016950
166;0;0,016951
167;0;0,016952
168;0;0,016953
169;0;0,016954
170;0;0,016955
171;0;0,016956
172;0;0,016957
173;0;0,016958
174;0;0,016959
175;0;0,016960
176;0;0,016961
177;0;0,016962
178;0;0,016963
179;0;0,016964
180;0;0,016965
181;0;0,016966
182;0;0,016967
183;0;0,016968
184;0;0,016969
185;0;0,016970
186;0;0,016971
187;0;0,016972
188;0;0,016973
189;0;0,016974
190;0;0,016975
191;0;0,016976
192;0;0,016977
193;0;0,016978
194;0;0,016979
195;0;0,016980
196;0;0,016981
197;0;0,016982
198;0;0,016983
199;0;0,016984
200;0;0,016985
201;0;0,016986
202;0;0,016987
203;0;0,016988
204;0;0,016989
205;0;0,016990
206;0;0,016991
207;0;0,016992
208;0;0,016993
209;0;0,016994
210;0;0,016995
211;0;0,016996
212;0;0,016997
213;0;0,016998
215;0;0,017000
216;0;0,017001
217;0;0,017002
218;0;0,017003
219;0;0,017004
220;0;0,017005
221;0;0,017006
222;0;0,017007
223;0;0,017008
224;0;0,017009
225;0;0,017010
226;0;0,017011
227;0;0,017012
228;0;0,017013
229;0;0,017014
230;0;0,017015
231;0;0,017016
232;0;0,017017
